X,Y,FID,village,settlement,facility_type,facility_name,managing_organization,donor,altitude
36.77883,-1.314415,1077,Olympic estate,Kibera,Education Facility,Sunflower early education and development,Individual (eg business owner),NA,1765.3
36.77888,-1.313845,1078,Olympic estate,Kibera,Local organization/ NGO office,Swahiba networks,Missing Values,NaN,1746.6
36.78095667,-1.307131667,1079,Toi Market,Kibera,Social hall / community centre / resource centre,Team tank,Community group,NaN,1733.6
36.77955,-1.306896667,1080,Toi Market,Kibera,Local organization/ NGO office,Tekra Office,Missing Values,NaN,1798.9
36.77622671,-1.308782045,1081,Ayany estate,Kibera,Education Facility,Tenderlings school,Individual (eg business owner),Individual,1744
36.77646,-1.314423333,1082,soweto west,Kibera,Local organization/ NGO office,The African Bone Workshop,Missing Values,NaN,1629.9
36.777885,-1.316986667,1083,Raila,Kibera,Education Facility,The Church On The Rock,Individual (eg business owner),None,1704.3
36.77398434,-1.30868025,1084,Ayany estate,Kibera,Religious facility,The door christian fellowship,Missing Values,NaN,1757
36.79709333,-1.317135,1085,Silanga,Kibera,Religious facility,The Door Christian Fellowship Church,Missing Values,NaN,1694
36.780915,-1.314673333,1086,Gatwekera,Kibera,Education Facility,The Global One Kibera School,Individual (eg business owner),NaN,1728.8
36.78164033,-1.315224417,1087,Gatwekera,Kibera,Education Facility,The Global One Secondary School,Community group,Global One foundation,1734
36.78541,-1.3118,1088,Karanja estate,Kibera,Education Facility,The great achievers cb education,Individual (eg business owner),Great achievers,1773.5
36.77886833,-1.31687,1089,Gatwekera,Kibera,Religious facility,The Holy Trinity Church,Missing Values,NaN,1639.6
36.79646667,-1.314493333,1090,Laini saba,Kibera,Local organization/ NGO office,The junction youth group theatre,Missing Values,NaN,1646.5
36.77871333,-1.314548333,1091,Olympic estate,Kibera,Education Facility,The promised Land academy,Individual (eg business owner),N/A,1771.1
36.79660333,-1.315363333,1092,Laini saba,Kibera,Religious facility,THE SALVATION ARMY - KENYATTA CORPS,Missing Values,NaN,1705.3
36.78199333,-1.316101667,1093,Gatwekera,Kibera,Education Facility,The Seed School Kibera,Individual (eg business owner),NaN,1783.6
36.79403566,-1.313802925,1094,Lindi,Kibera,Religious facility,The true centre ministries,Missing Values,NaN,1689.298742
36.78209167,-1.310885,1095,Karanja estate,Kibera,Education Facility,Three bells,Individual (eg business owner),Kimilu,1875.8
36.77865333,-1.311218333,1096,Olympic estate,Kibera,Education Facility,Three bells nursery,Individual (eg business owner),None,1773.2
36.77871167,-1.311263333,1097,Olympic estate,Kibera,Education Facility,Three bells nursery,Individual (eg business owner),None,1772.7
36.78177833,-1.310276667,1098,Makina,Kibera,Market,Toi market,Individual (eg business owner),NaN,1748.6
36.78229167,-1.307498333,1099,Toi Market,Kibera,Market,Toi Market,County government,NaN,1767.2
36.78024167,-1.30559,1100,Toi Market,Kibera,Education Facility,Toi primary school,County government,NaN,1779.1
36.781352,-1.30038,1101, , ,Market,Toy Market,Individual (eg business owner),NaN,0
36.79016,-1.31086,1102,Mashimoni,Kibera,Education Facility,Transform F.Hope  Centre,Individual (eg business owner),None,1726.5
